System	SubSystem	Name	Year	Players	Joystick	Ways	Buttons	LightGun	Stick	TrackBall	Other Input	Vertical	Manufacturer	Genre	SubGenre	Sub2Genre	CameraGenre	GraphicsGenre	FWA MAX 2 	FUA
console	3do	Road Rash	1994	1	unknown	unknown	unknown	unknown	unknown	unknown	unknown	no	Electronic Arts	Driving	unknown	unknown	unknown	unknown	yes	no
arcade	none	10-Yard Fight	1983	2	single	8	2	no	no	no	none	no	Irem	Sports	Football	other	unknown	unknown	yes	yes
arcade	none	1941: Counter Attack	1990	2	single	8	2	no	no	no	none	yes	Capcom	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	1942	1984	2	single	8	2	no	no	no	none	yes	Capcom	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	1943 Kai: Midway Kaisen	1987	2	single	8	2	no	no	no	none	yes	Capcom	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	1943: The Battle of Midway	1987	2	single	8	2	no	no	no	none	yes	Capcom	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	1944: The Loop Master	2000	2	single	8	2	no	no	no	none	no	Eighting	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	19XX: The War Against Destiny	1996	2	single	8	2	no	no	no	none	yes	Capcom	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	2 On 2 Open Ice Challenge	1995	4	single	8	3	no	no	no	none	no	Midway	Sports	Hockey	other	unknown	unknown	yes	yes
arcade	neogeo	2020 Super Baseball	1991	2	single	8	4	no	no	no	none	no	SNK	Sports	Baseball	other	unknown	unknown	yes	yes
arcade	none	64th. Street: A Detective Story	1991	2	single	8	2	no	no	no	none	no	Jaleco	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none	720 Degrees	1986	1	none	none	2	no	yes	no	dial	no	Atari	Sports	Skateboarding	other	unknown	unknown	yes	yes
arcade	none	A.B. Cop	1990	1	none	none	1	no	no	no	pedal/paddle	no	SEGA	Driving	Motorbike	other	unknown	unknown	yes	yes
arcade	none	APB: All Points Bulletin	1987	1	none	none	2	no	no	no	pedal/dial	yes	Atari	Driving	other	other	unknown	unknown	yes	yes
arcade	none	Ace Driver	1994	1	none	none	6	no	no	no	pedal/paddle	no	Namco	Driving	Race	other	3rd Person	unknown	yes	yes
arcade	none	Act-Fancer Cybernetick Hyper Weapon	1989	2	single	8	2	no	no	no	none	no	Data East	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none	Action Fighter	1986	2	single	8	3	no	no	no	none	yes	SEGA	Shooter	Driving	other	Vertical	unknown	yes	yes
arcade	none	Aero Fighters	1992	2	single	8	2	no	no	no	none	yes	Video System	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	neogeo	Aero Fighters 2	1994	2	single	8	4	no	no	no	none	no	Video System	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	neogeo	Aero Fighters 3	1995	2	single	8	4	no	no	no	none	no	Video System	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	After Burner 2	1987	1	none	none	2	no	yes	no	none	no	SEGA	Shooter	Flying	other	3rd Person	unknown	yes	yes
arcade	none	After Burner Climax	2006	1	unknown	unknown	unknown	unknown	unknown	unknown	unknown	no	SEGA	Shooter	Flying	other	3rd Person	unknown	yes	yes
arcade	neogeo	Aggressors of Dark Kombat	1994	2	single	8	4	no	no	no	none	no	SNK	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none	Air Assault	1993	2	single	8	3	no	no	no	none	yes	Irem	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	Air Gallet	1996	2	single	8	3	no	no	no	none	yes	Banpresto	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	Airwolf	1987	2	single	8	2	no	no	no	none	no	Other	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Ajax	1987	2	single	8	3	no	no	no	none	yes	Konami	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	Akai Katana	2010	2	single	8	4	no	no	no	none	no	Cave	Shooter	unknown	unknown	unknown	unknown	yes	yes
arcade	none	Alien Storm	1990	2	single	8	3	no	no	no	none	no	SEGA	Platform	Shooter	Fighter	Scrolling	unknown	yes	yes
arcade	none	Alien Syndrome	1987	2	single	8	3	no	no	no	none	no	SEGA	Maze	Shooter	other	unknown	unknown	yes	yes
arcade	none	Alien vs. Predator	1994	3	single	8	3	no	no	no	none	no	Capcom	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none	Alien3: The Gun	1993	2	none	none	2	no	yes	no	none	no	SEGA	Shooter	Gunner	other	1st Person	unknown	yes	yes
arcade	none	Aliens	1990	2	single	8	2	no	no	no	none	no	Konami	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	neogeo	Alpha Mission 2	1991	2	single	8	4	no	no	no	none	no	SNK	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	Alpine Ski	1982	2	single	2	1	no	no	no	none	yes	Taito	Sports	Skiing	other	unknown	unknown	yes	yes
arcade	none	Altered Beast	1988	2	single	8	3	no	no	no	none	no	SEGA	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none	Amidar	1982	2	single	4	1	no	no	no	none	yes	Konami	Maze	Outline	other	unknown	unknown	yes	yes
arcade	none	Anteater	1982	1	single	4	1	no	no	no	none	yes	Other	Maze	Collect	other	unknown	unknown	yes	yes
arcade	none	Arabian	1983	2	single	8	1	no	no	no	none	yes	Other	Platform	Run Jump	other	unknown	unknown	yes	yes
arcade	none	Arch Rivals	1989	2	none	none	2	no	yes	no	none	no	Midway	Sports	Basketball	other	unknown	unknown	yes	yes
arcade	none	Area 51	1996	2	none	none	1	yes	no	no	none	no	Atari	Shooter	Gunner	other	1st Person	unknown	yes	yes
arcade	none	Arkanoid	1986	2	none	none	1	no	no	no	dial	yes	Taito	other	Breakout	other	unknown	unknown	yes	yes
arcade	none	Arkanoid: Revenge of DOH	1987	2	none	none	1	no	no	no	dial	yes	Taito	other	Breakout	other	unknown	unknown	yes	yes
arcade	none	Armed Police Batrider	1998	2	single	8	3	no	no	no	none	yes	Eighting	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	Armored Warriors	1994	3	single	8	3	no	no	no	none	no	Capcom	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	neogeo	Art of Fighting	1992	2	single	8	4	no	no	no	none	no	SNK	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	neogeo	Art of Fighting 2	1994	2	single	8	4	no	no	no	none	no	SNK	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	neogeo	Art of Fighting 3: The Path of the Warrior	1996	2	single	8	4	no	no	no	none	no	SNK	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none	Ashura Blaster	1990	2	single	8	2	no	no	no	none	yes	Taito	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	Assault	1988	2	twin	4	1	no	no	no	none	yes	Namco	Shooter	Driving	other	unknown	unknown	yes	yes
arcade	none	Asterix	1992	2	single	8	2	no	no	no	none	no	Konami	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none	Asteroids	1979	1	none	none	5	no	no	no	none	no	Atari	Shooter	Field	other	unknown	unknown	yes	yes
arcade	none	Asteroids Deluxe	1980	1	none	none	5	no	no	no	none	no	Atari	Shooter	Field	other	unknown	unknown	yes	yes
arcade	none	Astyanax, The	1989	2	single	8	3	no	no	no	none	no	Jaleco	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none	Asura Blade: Sword of Dynasty	1998	2	single	8	3	no	no	no	none	no	Other	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none	Asura Buster: Eternal Warriors	2001	2	single	8	3	no	no	no	none	no	Other	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none	Athena	1986	2	single	8	2	no	no	no	none	no	SNK	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none	Avengers	1987	2	single	8	2	no	no	no	none	yes	Capcom	Fighter	Beat Em Up	other	Vertical	unknown	yes	yes
arcade	none	B.C. Kid	1994	2	single	8	4	no	no	no	none	no	Kaneko	Platform	Run, Jump &	other	Scrolling	unknown	yes	yes
arcade	none	B.Rap Boys	1992	3	single	8	2	no	no	no	none	no	Kaneko	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none	Bad Dudes vs. Dragonninja	1988	2	single	8	2	no	no	no	none	no	Data East	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none	Bagman	1982	2	single	4	1	no	no	no	none	yes	Other	Platform	Run Jump	other	unknown	unknown	yes	yes
arcade	none	Bakutotsu Kijuutei	1988	2	single	8	3	no	no	no	none	no	Namco	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Bank Panic	1984	2	single	2	3	no	no	no	none	no	SEGA	Shooter	other	other	1st Person	unknown	yes	yes
arcade	none	Baraduke	1985	2	single	8	1	no	no	no	none	no	Namco	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	neogeo	Baseball Stars 2	1992	2	single	8	4	no	no	no	none	no	SNK	Sports	Baseball	other	unknown	unknown	yes	yes
arcade	none	Batman Forever	1996	2	single	8	3	no	no	no	none	no	Other	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none	Batsugun: Special Version	1993	2	single	8	3	no	no	no	none	yes	Toaplan	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	Battle Bakraid: Unlimited Version	1999	2	single	8	3	no	no	no	none	yes	Eighting	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	Battle Chopper	1987	2	single	8	4	no	no	no	none	no	Irem	Shooter	Flying	other	unknown	unknown	yes	yes
arcade	none	Battle Circuit	1997	4	single	8	2	no	no	no	none	no	Capcom	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none	Battle Garegga	1996	2	single	8	3	no	no	no	none	yes	Eighting	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	Battle Rangers	1988	2	single	8	3	no	no	no	none	no	Data East	Shooter	Walking	other	unknown	unknown	yes	yes
arcade	none	Battle Zone	1980	1	twin	vertical2	1	no	no	no	none	no	Atari	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Battletoads	1994	3	single	8	2	no	no	no	none	no	Electronic Arts	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none	Bay Route	1989	2	single	8	3	no	no	no	none	no	SEGA	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none	Beast Busters	1989	3	none	none	2	yes	no	no	none	no	SNK	Shooter	Gunner	other	1st Person	unknown	yes	yes
arcade	none	Berzerk	1980	2	single	8	1	no	no	no	none	no	Stern Electronics	Maze	Shooter	other	unknown	unknown	yes	yes
arcade	none	Big Karnak	1991	2	single	8	2	no	no	no	none	no	Gaelco	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none	Bio Attack	1983	2	single	8	1	no	no	no	none	yes	Taito	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	Bio-ship Paladin	1990	2	single	8	2	no	no	no	none	no	UPL	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Biomechanical Toy	1995	2	single	8	2	no	no	no	none	no	Gaelco	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none	Bionic Commando	1987	2	single	8	2	no	no	no	none	no	Capcom	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none	Black Heart	1991	2	single	8	2	no	no	no	none	no	UPL	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Black Tiger	1987	2	single	8	2	no	no	no	none	no	Capcom	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none	Black Widow	1982	1	twin	8	0	no	no	no	none	no	Atari	Shooter	Field	other	unknown	unknown	yes	yes
arcade	none	Blade Master	1991	2	single	8	2	no	no	no	none	no	Irem	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none	Blasteroids	1987	2	none	none	4	no	no	no	dial	no	Atari	Shooter	Field	other	unknown	unknown	yes	yes
arcade	neogeo	Blazing Star	1998	2	single	8	4	no	no	no	none	no	Other	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Block Hole	1989	2	single	4	3	no	no	no	none	no	Konami	Puzzle	Drop	other	unknown	unknown	yes	yes
arcade	none	Block Out	1989	2	single	8	4	no	no	no	none	no	Technos Japan	Puzzle	Drop	other	unknown	unknown	yes	yes
arcade	none	Blood Bros.	1990	2	single	8	3	no	no	no	none	no	TAD Corporation	Shooter	other	other	3rd Person	unknown	yes	yes
arcade	none	Blood Storm	1994	2	single	8	5	no	no	no	none	no	Incredible Technologies	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	neogeo	Blue's Journey	1990	2	single	8	4	no	no	no	none	no	Alpha Denshi	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none	Bomb Jack	1984	2	single	8	1	no	no	no	none	yes	Tehkan	Platform	Run Jump	other	unknown	unknown	yes	yes
arcade	none	Bomber Man World	1992	4	single	4	2	no	no	no	none	no	Irem	Maze	Collect	other	unknown	unknown	yes	yes
arcade	none	Bonanza Bros	1990	2	single	8	3	no	no	no	none	no	SEGA	Platform	Shooter	other	unknown	unknown	yes	yes
arcade	none	Bonze Adventure	1988	2	single	8	2	no	no	no	none	no	Taito	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none	Boogie Wings	1992	2	single	8	3	no	no	no	none	no	Data East	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Bosconian: Star Destroyer	1981	2	single	8	1	no	no	no	none	no	Namco	Shooter	Field	other	unknown	unknown	yes	yes
arcade	none	Boulder Dash	1990	2	single	4	2	no	no	no	none	no	Data East	Maze	Digging	other	unknown	unknown	yes	yes
arcade	none	Brave Blade	2000	4	single	8	3	no	no	no	none	yes	Eighting	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	Break Thru	1986	2	single	8	2	no	no	no	none	no	Data East	Shooter	Driving	other	Horizontal	unknown	yes	yes
arcade	neogeo	Breakers Revenge	1998	2	single	8	4	no	no	no	none	no	Visco	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none	Bubble Bobble	1986	2	single	2	2	no	no	no	none	no	Taito	Platform	Run Jump	other	unknown	unknown	yes	yes
arcade	none	Bubble Bobble 2	1994	4	single	8	4	no	no	no	dial	no	Taito	Platform	Run Jump	other	unknown	unknown	yes	yes
arcade	none	Bubble Bobble: Lost Cave V1.2	2013	2	single	2	2	no	no	no	none	no	Other	Platform	Run Jump	other	unknown	unknown	yes	yes
arcade	none	Bubble Memories: The Story Of Bubble Bobble 3	1995	4	single	8	4	no	no	no	dial	no	Taito	Platform	Run Jump	other	unknown	unknown	yes	yes
arcade	none	Bubbles	1982	1	single	8	0	no	no	no	none	no	Williams	Maze	Collect	other	unknown	unknown	yes	yes
arcade	none	Buck Rogers: Planet of Zoom	1982	1	single	8	3	no	no	no	none	no	SEGA	Shooter	Flying	other	3rd Person	unknown	yes	yes
arcade	none	Bucky O'Hare	1992	4	single	8	3	no	no	no	none	no	Konami	Shooter	Walking	other	unknown	unknown	yes	yes
arcade	none	Buggy Boy Junior/Speed Buggy	1986	1	none	none	1	no	no	no	pedal/dial	no	Other	Driving	Race	other	3rd Person	unknown	yes	yes
arcade	none	Bump 'n' Jump	1982	2	single	8	1	no	no	no	none	yes	Data East	Driving	Race	other	unknown	unknown	yes	yes
arcade	none	Burger Time	1982	2	single	4	1	no	no	no	none	yes	Data East	Platform	Run Jump	other	unknown	unknown	yes	yes
arcade	none	Cabal	1988	2	single	8	3	no	no	no	none	no	TAD Corporation	Shooter	other	other	3rd Person	unknown	yes	yes
arcade	none	Cadash	1989	2	single	8	2	no	no	no	none	no	Taito	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none	Cadillacs & Dinosaurs	1993	3	single	8	2	no	no	no	none	no	Capcom	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none	Caliber 50	1989	2	single	8	2	no	no	no	dial	yes	Other	Shooter	Walking	other	unknown	unknown	yes	yes
arcade	none	Capcom Sports Club	1997	2	single	8	3	no	no	no	none	no	Capcom	Sports	Multiplay	other	unknown	unknown	yes	yes
arcade	none	Captain America & The Avengers	1991	4	single	8	2	no	no	no	none	no	Data East	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none	Captain Commando	1991	4	single	8	2	no	no	no	none	no	Capcom	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none	Captain Silver	1987	2	single	8	2	no	no	no	none	no	Data East	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none	CarnEvil	1998	2	none	none	2	yes	no	no	none	no	Midway	Shooter	Gunner	other	1st Person	unknown	yes	yes
arcade	none	Carnival	1980	1	single	2	1	no	no	no	none	yes	SEGA	Shooter	Gallery	other	unknown	unknown	yes	yes
arcade	none	Carrier Air Wing	1990	2	single	8	3	no	no	no	none	no	Capcom	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Caveman Ninja	1991	2	single	8	2	no	no	no	none	no	Data East	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none	Centipede	1980	1	single	8	1	no	no	yes	none	yes	Atari	Shooter	Gallery	other	unknown	unknown	yes	yes
arcade	none	Championship Sprint	1986	2	none	none	0	no	no	no	pedal/dial	no	Atari	Driving	Race Track	other	Aerial	unknown	yes	yes
arcade	none	Chase H.Q.	1988	1	none	none	4	no	no	no	pedal/paddle/dial	no	Taito	Driving	Race	other	3rd Person	unknown	yes	yes
arcade	none	Chelnov: Atomic Runner	1988	2	single	8	3	no	no	no	none	no	Data East	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none	Chequered Flag	1988	1	none	none	2	no	no	no	pedal/paddle	yes	Konami	Driving	Race	other	unknown	unknown	yes	yes
arcade	none	Cheyenne	1984	1	none	none	1	yes	no	no	none	no	Other	Shooter	Gunner	other	1st Person	unknown	yes	yes
arcade	none	Chiller	1986	1	none	none	1	yes	no	no	none	no	Other	Shooter	Gunner	other	1st Person	unknown	yes	yes
arcade	none	Chimera Beast	1993	2	single	8	2	no	no	no	none	no	Jaleco	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Choplifter	1985	2	single	8	2	no	no	no	none	no	unknown	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Chopper 1	1988	2	single	8	2	no	no	no	none	yes	SNK	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	neogeo	Choutetsu Brikin'ger	1996	2	single	8	4	no	no	no	none	no	Other	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Circus Charlie	1984	2	single	2	1	no	no	no	none	yes	Konami	Platform	Run, Jump &	other	Scrolling	unknown	yes	yes
arcade	none	Cisco Heat	1990	1	none	none	4	no	no	no	paddle	no	Jaleco	Driving	Race	other	3rd Person	unknown	yes	yes
arcade	none	City Connection	1985	2	single	8	2	no	no	no	none	no	Jaleco	Platform	Run Jump	Driving	unknown	unknown	yes	yes
arcade	none	Cliffhanger, The: Edward Randy	1990	2	single	8	2	no	no	no	none	no	Data East	Fighter	Beat Em Up	other	unknown	2D	yes	yes
arcade	none	Cobra-Command	1988	2	single	8	2	no	no	no	none	no	Data East	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Combat School	1988	2	single	8	2	no	no	no	none	no	Konami	Sports	Track & Field	other	unknown	unknown	yes	yes
arcade	none	Combatribes, The	1990	3	single	8	3	no	no	no	none	no	Technos Japan	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none	Commando	1985	2	single	8	2	no	no	no	none	yes	Capcom	Shooter	Walking	other	unknown	unknown	yes	yes
arcade	none	Congo Bongo	1983	2	single	8	1	no	no	no	none	yes	SEGA	Platform	Run Jump	other	unknown	unknown	yes	yes
arcade	none	Continental Circus	1987	1	none	none	3	no	no	no	pedal/paddle/dial	no	Taito	Driving	Race	other	3rd Person	unknown	yes	yes
arcade	none	Contra	1987	2	single	8	2	no	no	no	none	yes	Konami	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none	Cop 01	1985	2	single	8	2	no	no	no	none	no	Nichibutsu	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none	Cosmic Alien	1979	2	single	2	1	no	no	no	none	yes	Universal	Shooter	Gallery	other	unknown	unknown	yes	yes
arcade	none	Cosmic Cop	1991	2	single	8	4	no	no	no	none	no	Irem	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Cosmo Gang the Video	1991	2	single	8	3	no	no	no	none	yes	Namco	Shooter	Gallery	other	unknown	unknown	yes	yes
arcade	none	Cosmo Police Galivan	1985	2	single	8	3	no	no	no	none	yes	Nichibutsu	Platform	Fighter	other	Scrolling	unknown	yes	yes
arcade	none	Cotton	1991	2	single	8	3	no	no	no	none	no	SEGA	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Cotton 2	1997	4	single	8	4	no	no	no	none	no	Other	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Crack Down	1989	2	single	8	3	no	no	no	none	no	SEGA	Maze	Shooter	other	unknown	unknown	yes	yes
arcade	none	Crazy Climber	1980	2	twin	8	0	no	no	no	none	no	Nichibutsu	other	Building	other	unknown	unknown	yes	yes
arcade	none	Crime Fighters	1989	2	single	8	3	no	no	no	none	no	Konami	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none	Crossbow	1983	1	none	none	1	yes	no	no	none	no	Other	Shooter	Gunner	other	1st Person	unknown	yes	yes
arcade	neogeo	Crossed Swords	1991	2	single	8	4	no	no	no	none	no	Alpha Denshi	Fighter	Beat Em Up	other	unknown	unknown	yes	yes
arcade	none	Cruis'n USA	1994	1	none	none	8	no	no	no	pedal/paddle	no	Midway	Driving	Race	other	3rd Person	unknown	yes	yes
arcade	none	Cruis'n World	1996	1	none	none	8	no	no	no	pedal/paddle	no	Midway	Driving	Race	other	3rd Person	unknown	yes	yes
arcade	none	Crystal Castles	1983	2	none	none	3	no	no	yes	none	no	Atari	Maze	Collect	other	unknown	unknown	yes	yes
arcade	neogeo	Cyber-Lip	1990	2	single	8	4	no	no	no	none	no	SNK	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none	Cyberball 2072	1989	2	single	8	1	no	no	no	none	no	Atari	Sports	Football	other	unknown	unknown	yes	yes
arcade	none	Cyberbots: Fullmetal Madness	1995	2	single	8	4	no	no	no	none	no	Capcom	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	none	Cyvern: The Dragon Weapons	1998	2	single	8	2	no	no	no	none	yes	Kaneko	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	DJ Boy	1989	2	single	8	3	no	no	no	none	no	Kaneko	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none	Daioh	1993	2	single	8	6	no	no	no	none	yes	Other	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	Darius	1986	2	single	8	2	no	no	no	none	no	Taito	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Darius 2	1989	2	single	8	2	no	no	no	none	no	Taito	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Darius Gaiden: Silver Hawk	1994	4	single	8	4	no	no	no	dial	no	Taito	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Dark Seal	1990	2	single	8	2	no	no	no	none	no	Data East	Maze	Fighter	other	unknown	unknown	yes	yes
arcade	none	Darkstalkers: The Night Warriors	1994	2	single	8	6	no	no	no	none	no	Capcom	Fighter	Versus	other	unknown	unknown	yes	yes
arcade	model2	Daytona USA	1994	1	none	none	9	no	no	no	pedal/paddle	no	SEGA	Driving	Race	other	3rd Person	unknown	yes	yes
arcade	model3	Daytona USA 2 Power Edition	1998	1	none	none	8	no	no	no	pedal/paddle	no	SEGA	Driving	Race	other	3rd Person	unknown	yes	yes
arcade	none	Dead Angle	1988	2	single	8	2	no	no	no	none	no	Seibu Kaihatsu	Shooter	other	Gunner	1st Person	unknown	yes	yes
arcade	none	Dead Connection	1992	4	single	8	2	no	no	no	none	no	Taito	Shooter	Field	other	unknown	unknown	yes	yes
arcade	none	Deathsmiles MegaBlack Label	2008	2	single	8	4	no	no	no	none	no	Cave	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Deep, The	1987	2	single	8	2	no	no	no	none	yes	Other	Shooter	Gallery	other	unknown	unknown	yes	yes
arcade	none	Defender	1980	1	single	vertical2	5	no	no	no	none	no	Williams	Shooter	Flying	other	Horizontal	unknown	yes	yes
arcade	none	Demon Front	2002	4	single	8	4	no	no	no	none	no	IGS	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none	Demon's World	1990	2	single	8	3	no	no	no	none	no	Toaplan	Platform	Shooter	other	Scrolling	unknown	yes	yes
arcade	none	Desert Assault	1991	4	single	8	2	no	no	no	none	no	Data East	Shooter	Walking	other	unknown	unknown	yes	yes
arcade	none	Desert Breaker	1992	3	single	8	3	no	no	no	none	yes	SEGA	Shooter	Walking	other	unknown	unknown	yes	yes
arcade	none	Devastators	1988	2	single	8	2	no	no	no	none	yes	Konami	Shooter	other	other	3rd Person	unknown	yes	yes
arcade	none	Devil World	1987	2	single	8	3	no	no	no	none	no	Konami	Shooter	Walking	other	unknown	unknown	yes	yes
arcade	none	Die Hard Arcade	1996	4	single	8	4	no	no	no	none	no	SEGA	Fighter	Beat Em Up	other	unknown	2.5D	yes	yes
arcade	none	Dig Dug	1982	2	single	4	1	no	no	no	none	yes	Namco	Maze	Digging	other	unknown	unknown	yes	yes
arcade	none	Dig Dug 2	1985	2	single	4	2	no	no	no	none	yes	Namco	Maze	Collect	other	unknown	unknown	yes	yes
arcade	none	Dimahoo	2000	2	single	8	3	no	no	no	none	yes	Eighting	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	Discs of Tron	1983	1	single	8	4	no	no	yes	dial	no	Midway	Sports	other	other	unknown	unknown	yes	yes
arcade	none	DoDonPachi	1997	2	single	8	3	no	no	no	none	yes	Cave	Shooter	Flying	other	Vertical	unknown	yes	yes
arcade	none	DoDonPachi 2: Bee Storm	2001	4	single	8	4	no	no	no	none	yes	IGS	Shooter	Flying	other	Vertical	unknown	yes	yes
