System	Name	Year	Players	Input	Buttons	Vertical	Manufacturers	Player Legends 2	Retro Arcade 2 Elites
arcade	null	null	unknown	unknown	unknown	No	null	No	Yes
arcade	null	null	unknown	unknown	unknown	No	null	No	Yes
arcade	10-Yard Fight	1983	2	joy8way	2	No	Irem	No	Yes
arcade	1941: Counter Attack	1990	2	joy8way	2	Yes	Capcom	Yes	Yes
arcade	1942	1984	2	joy8way	2	Yes	Capcom	Yes	Yes
arcade	1943: The Battle of Midway	1987	2	joy8way	2	Yes	Capcom	Yes	Yes
arcade	1944: The Loop Master	2000	2	joy8way	2	No	Eighting / Raizing	Yes	Yes
arcade	19XX: The War Against Destiny	1996	2	joy8way	2	Yes	Capcom	Yes	Yes
arcade	2 On 2 Open Ice Challenge	1995	4	joy8way	3	No	Midway	No	Yes
arcade	2020 Super Baseball	1991	2	joy8way	4	No	SNK / Pallas	No	Yes
arcade	720 Degrees	1986	1	stick / dial	2	No	Atari Games	No	Yes
arcade	APB: All Points Bulletin	1987	1	pedal / dial	2	Yes	Atari Games / Atari	Yes	Yes
arcade	Act-Fancer Cybernetick Hyper Weapon	1989	2	joy8way	2	No	Data East	Yes	Yes
arcade	Aero Fighters 2	1994	2	joy8way	4	No	Video System Co. / Video System	No	Yes
arcade	Aero Fighters 3	1995	2	joy8way	4	No	Video System Co. / Video System	No	Yes
arcade	After Burner 2	1987	1	stick	2	No	SEGA	Yes	Yes
arcade	After Burner Climax	2006	unknown	unknown	unknown	No	SEGA	No	Yes
arcade	Aggressors of Dark Kombat	1994	2	joy8way	4	No	ADK / SNK	No	Yes
arcade	Ajax	1987	2	joy8way	3	Yes	Konami	No	Yes
arcade	Akai Katana	2010	2	unknown	unknown	No	Cave / Rising Star Games	Yes	Yes
arcade	Alien Storm (World, 2 Players)	1990	2	joy8way	3	No	SEGA	Yes	Yes
arcade	Alien Syndrome	1987	2	joy8way	3	No	SEGA	Yes	Yes
arcade	Alien vs. Predator	1994	3	joy8way	3	No	Capcom	Yes	Yes
arcade	Aliens	1990	2	joy8way	2	No	Konami	Yes	Yes
arcade	Alpha Mission 2	1991	2	joy8way	4	No	SNK	No	Yes
arcade	Alpine Ski	1982	2	joy2way	1	Yes	Taito / Pacific Kougyou	Yes	Yes
arcade	Altered Beast (set 8)	1988	2	joy8way	3	No	SEGA	Yes	Yes
arcade	Amidar	1982	2	joy4way	1	Yes	Konami	Yes	Yes
arcade	Arkanoid: Revenge of DOH	1987	2	dial	1	Yes	Taito	Yes	Yes
