System	Name	Year	ROM	Players	Joystick	Buttons	LightGun	TrackBall	Other Input	Vertical	Manufacturers	Player Legends 2	Retro Arcade 2 Elites	Other CoinOps
arcade	'88 Games	1988	88games	4	none	3	No	No	none	No	Konami	No	No	Yes
arcade	10-Yard Fight	1983	10yard	2	joy8way	2	No	No	none	No	Irem	No	Yes	Yes
arcade	1941: Counter Attack	1990	1941	2	joy8way	2	No	No	none	Yes	Capcom	Yes	Yes	Yes
arcade	1942	1984	1942	2	joy8way	2	No	No	none	Yes	Capcom	Yes	Yes	Yes
arcade	1943 Kai: Midway Kaisen	1987	1943kai	2	joy8way	2	No	No	none	Yes	Capcom	No	No	Yes
arcade	1943: The Battle of Midway	1987	1943	2	joy8way	2	No	No	none	Yes	Capcom	Yes	Yes	Yes
arcade	1944: The Loop Master	2000	1944	2	joy8way	2	No	No	none	No	Eighting / Raizing	Yes	Yes	Yes
arcade	1945k 3	2000	1945kiii	2	joy8way	4	No	No	none	Yes	Oriental Soft	No	No	Yes
arcade	19XX: The War Against Destiny	1996	19xx	2	joy8way	2	No	No	none	Yes	Capcom	Yes	Yes	Yes
arcade	2 On 2 Open Ice Challenge	1995	openice	4	joy8way	3	No	No	none	No	Midway	No	Yes	Yes
arcade	2020 Super Baseball	1991	2020bb	2	joy8way	4	No	No	none	No	SNK / Pallas	No	Yes	Yes
arcade	3 Count Bout	1993	3countb	2	joy8way	4	No	No	none	No	SNK	No	No	Yes
arcade	64th. Street: A Detective Story	1991	64street	2	joy8way	2	No	No	none	No	Jaleco / C.P. Brain	No	No	Yes
arcade	720 Degrees	1986	720	1	none	2	No	No	stick/dial	No	Atari Games	No	Yes	Yes
arcade	A.B. Cop	1990	abcop	1	none	1	No	No	pedal/paddle	No	SEGA	No	No	Yes
arcade	APB: All Points Bulletin	1987	apb	1	none	2	No	No	pedal/dial	Yes	Atari Games / Atari	Yes	Yes	Yes
arcade	ASO: Armored Scrum Object	1985	aso	2	joy8way	3	No	No	none	Yes	SNK	No	No	Yes
arcade	Ace Attacker	1988	aceattac	4	none	1	No	Yes	pedal/positional/stick	Yes	SEGA	No	No	Yes
arcade	Ace Driver: Racing Evolution	1994	acedrvrw	2	joyvertical2way	4	No	No	pedal/paddle	No	Namco	No	No	Yes
arcade	Acrobat Mission	1991	acrobatm	2	joy8way	3	No	No	none	Yes	UPL / Taito	No	No	Yes
arcade	Act-Fancer Cybernetick Hyper Weapon	1989	actfancr	2	joy8way	2	No	No	none	No	Data East	Yes	Yes	Yes
arcade	Action Fighter	1986	afighter	2	joy8way	3	No	No	none	Yes	SEGA	No	No	Yes
arcade	Aero Fighters	1992	aerofgt	2	joy8way	2	No	No	none	Yes	Video System Co. / Video System	No	No	Yes
arcade	Aero Fighters 2	1994	sonicwi2	2	joy8way	4	No	No	none	No	Video System Co. / Video System	No	Yes	Yes
arcade	Aero Fighters 3	1995	sonicwi3	2	joy8way	4	No	No	none	No	Video System Co. / Video System	No	Yes	Yes
arcade	Aero Fighters Special	1996	aerofgts	4	joy8way	3	No	No	none	Yes	McO'River, Inc.	No	No	Yes
arcade	After Burner 2	1987	aburner2	1	none	2	No	No	stick	No	SEGA	Yes	Yes	Yes
arcade	After Burner Climax	2006	abclimax	unknown	unknown	unknown	unknown	unknown	unknown	No	SEGA	No	Yes	Yes
arcade	Age Of Heroes: Silkroad 2	2001	aoh	2	joy8way	4	No	No	none	No	Unico	No	No	Yes
arcade	Aggressors of Dark Kombat	1994	aodk	2	joy8way	4	No	No	none	No	ADK / SNK	No	Yes	Yes
arcade	Air Assault	1993	airass	2	joy8way	3	No	No	none	Yes	Irem	No	No	Yes
arcade	Air Buster: Trouble Specialty Raid Unit	1990	airbustr	2	joy8way	2	No	No	none	No	Kaneko / Namco license	No	No	Yes
arcade	Air Duel	1990	airduel	2	joy8way	4	No	No	none	Yes	Irem	No	No	Yes
arcade	Air Gallet	1996	agallet	2	joy8way	3	No	No	none	Yes	Gazelle / Banpresto license	No	No	Yes
arcade	Air Rescue	1992	arescue	2	none	2	No	No	stick	No	SEGA	No	No	Yes
arcade	Airwolf	1987	airwolf	2	joy8way	2	No	No	none	No	Kyugo	No	No	Yes
arcade	Ajax	1987	ajax	2	joy8way	3	No	No	none	Yes	Konami	No	Yes	Yes
arcade	Akai Katana	2010	akatana	2	unknown	unknown	unknown	unknown	unknown	No	Cave / Rising Star Games	Yes	Yes	Yes
arcade	Alex Kidd: The Lost Stars	1986	alexkidd	2	joy8way	3	No	No	none	No	SEGA	No	No	Yes
arcade	Alien Storm	1990	astorm	2	joy8way	3	No	No	none	No	SEGA	Yes	Yes	Yes
arcade	Alien Syndrome	1987	aliensyn	2	joy8way	3	No	No	none	No	SEGA	Yes	Yes	Yes
arcade	Alien vs. Predator	1994	avsp	3	joy8way	3	No	No	none	No	Capcom	Yes	Yes	Yes
arcade	Alien3: The Gun	1993	alien3	2	none	2	No	No	stick	No	SEGA	No	No	Yes
arcade	Aliens	1990	aliens	2	joy8way	2	No	No	none	No	Konami	Yes	Yes	Yes
arcade	Alligator Hunt	1994	aligator	2	joy8way	3	No	No	none	No	Gaelco	No	No	Yes
arcade	Alpha Mission 2	1991	alpham2	2	joy8way	4	No	No	none	No	SNK	No	Yes	Yes
arcade	Alpine Ski	1982	alpine	2	joy2way	1	No	No	none	Yes	Taito / Pacific Kougyou	Yes	Yes	Yes
arcade	Altered Beast	1988	altbeast	2	joy8way	3	No	No	none	No	SEGA	Yes	Yes	Yes
arcade	Ambush	1983	ambush	2	joy8way	2	No	No	none	No	Tecfri	No	No	Yes
arcade	Amidar	1982	amidar	2	joy4way	1	No	No	none	Yes	Konami	Yes	Yes	Yes
arcade	Andro Dunos	1992	androdun	2	joy8way	4	No	No	none	No	Visco / SNK	No	No	Yes
arcade	Aqua Jack	1990	aquajack	1	joy8way	4	No	No	dial	No	Taito / Romstar Incorporated	No	No	Yes
arcade	Arabian	1983	arabian	2	joy8way	1	No	No	none	Yes	Sun Electronics / Atari	No	No	Yes
arcade	Arabian Fight	1991	arabfgt	4	joy8way	2	No	No	none	No	SEGA	No	No	Yes
arcade	Arabian Magic	1992	arabianm	4	joy8way	4	No	No	dial	No	Taito	No	No	Yes
arcade	Arbalester	1989	arbalest	2	joy8way	2	No	No	none	Yes	Jordan I.S. / Seta	No	No	Yes
arcade	Arch Rivals	1989	archrivl	2	none	2	No	No	stick	No	Bally Midway	No	No	Yes
