ID	Engine	Name
activity	scumm	Putt-Putt & Fatty Bear's Activity Pack
airport	scumm	Let's Explore the Airport with Buzzy
amazon	access	Amazon: Guardians of Eden
arthur	mohawk	Living Books: Arthur's Teacher Trouble
arthurbday	mohawk	Living Books: Arthur's Birthday
arthurcomp	mohawk	Living Books: Arthur's Computer Adventure
arthurrace	mohawk	Living Books: Arthur's Reading Race
arttime	scumm	Blue's Art Time Activities
astrochicken	sci	Astro Chicken
atlantis	scumm	Indiana Jones and the Fate of Atlantis
balloon	scumm	Putt-Putt and Pep's Balloon-O-Rama
bargon	gob	Bargon Attack
baseball	scumm	Backyard Baseball
baseball2001	scumm	Backyard Baseball 2001
baseball2003	scumm	Backyard Baseball 2003
basketball	scumm	Backyard Basketball
bbvs	bbvs	Beavis and Butt-Head in Virtual Stupidity
bc	agi	Black Cauldron
beardark	mohawk	Living Books: The Berenstain Bears In The Dark
bearfight	mohawk	Living Books: The Berenstein Bears Get In The Fight
bladerunner	bladerunner	Blade Runner
blueforce	tsage	Blue Force
blues123time	scumm	Blue's 123 Time Activities
bluesabctime	scumm	Blue's ABC Time
bluesbirthdayred	scumm	Blue's Birthday Adventure Red
bluesbirthdayyellow	scumm	Blue's Birthday Adventure Yellow
bluestreasurehunt	scumm	Blue's Treasure Hunt
bra	patallaction	The Big Red Adventure
brstorm	scumm	Bear Stormin'
buried	buried	The Journeyman Project 2: Buried in Time
camelot	sci	Conquests of Camelot
castlebrain	sci	Castle of Dr. Brain
catalog	scumm	Humongous Interactive Catalog
catinthehat	mohawk	Living Books: Cat in the Hat
chase	scumm	SPY Fox in Cheese Chase
chest	sci	Inside the Chest / Behind the Developer's Shield
chivalry	wintermute	Chivalry is Not Dead
christmas1986	agi	Christmas Card 1986
christmas1988	sci	Christmas Card 1988
christmas1990	sci	Christmas Card 1990: The Seasoned Professional
christmas1992	sci	Christmas Card 1992
cnick-kq	sci	Crazy Nick's Picks: King Graham's Board Game Challenge
cnick-laurabow	sci	Crazy Nick's Picks: Parlor Games with Laura Bow
cnick-longbow	sci	Crazy Nick's Picks: Robin Hood's Game Of Skill And Chance
cnick-lsl	sci	Crazy Nick's Picks: Leisure Suit Larry's Casino
cnick-sq	sci	Crazy Nick's Picks: Roger Wilco's Spaced Out Game Pack
comi	scumm	The Curse of Monkey Island
cruise	cruise	Cruise for a Corpse
darby	composer	Darby the Dragon
ddp	agi	Donald Duck's Playground
dig	scumm	The Dig
dog	scumm	Putt-Putt and Pep's Dog on a Stick
draci	draci	Dragon History
drascula	drascula	Drascula: The Vampire Strikes Back
dreamweb	dreamweb	DreamWeb
duckman	duckman	Duckman: The Graphic Adventures of a Private Dick
dw	tinsel	Discworld 1
dw2	tinsel	Discworld 2: Mortality Bytes! / Discworld 2
ecoquest	sci	EcoQuest 1: The Search for Cetus  / EcoQuest: The Search For Cetus
ecoquest2	sci	EcoQuest 2: Lost Secret of the Rainforest
elvira1	agos	Elvira 1: Mistress of the Dark / Elvira: Mistress of the Dark
elvira2	agos	Elvira 2: The Jaws of Cerberus
eob	kyra	Eye of the Beholder
eob2	kyra	Eye of the Beholder 2: The Legend of Darkmoon
fairytales	sci	Mixed-Up Fairy Tales
farm	scumm	Let's Explore the Farm with Buzzy
fascination	gob	Fascination
fbear	scumm	Fatty Bear's Birthday Surprise
fbpack	scumm	Fatty Bear's Fun Pack
feeble	agos	The Feeble Files
football	scumm	Backyard Football
football2002	scumm	Backyard Football 2002
freddi	scumm	Freddi Fish 1: The Case of the Missing Kelp Seeds
freddi2	scumm	Freddi Fish 2: The Case of the Haunted Schoolhouse
freddi3	scumm	Freddi Fish 3: The Case of the Stolen Conch Shell
freddi4	scumm	Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch
freddicove	scumm	Freddi Fish 5: The Case of the Creature of Coral Cave
freddisfunshop	scumm	Freddi Fish's One-Stop Fun Shop
freddypharkas	sci	Freddy Pharkas: Frontier Pharmacist
ft	scumm	Full Throttle
fullpipe	ngi	Full Pipe
funpack	scumm	Putt-Putt's Fun Pack
funseeker	sci	Fun Seeker's Guide to Eastern Madera County
fw	cine	Future Wars: Adventures in Time
geisha	gob	Geisha
gk1	sci	Gabriel Knight 1: Sins Of The Fathers / Gabriel Knight: Sins Of The Fathers
gk2	sci	Gabriel Knight 2: The Beast Within
gnap	dragons	Gnap: UFOs
gob1	gob	Gobliiins 1 / Gobliiins
gob2	gob	Gobliins 2: The Prince Buffoon
gob3	gob	Goblins 3
goldrush	agi	Gold Rush!
grandma	mohawk	Living Books: Just Grandma and Me
greeneggs	mohawk	Living Books: Green Eggs and Ham
gregory	composer	Gregory and the Hot Air Balloon
griffon	griffon	The Griffon Legend
grim	grim	Grim Fandango
harryhh	mohawk	Living Books: Harry and the Haunted House
hdb	hdb	Hyperspace Delivery Boy!
hires0	adl	Hi-Res Adventure #0: Mission Asteroid
hires1	adl	Hi-Res Adventure #1: Mystery House
hires2	adl	Hi-Res Adventure #2: Wizard and the Princess
hires3	adl	Hi-Res Adventure #3: Cranston Manor
