GRAEK,AEK Athens,Greece,AEK
ENARS,Arsenal,England
ENBOU,AFC Bournemouth,England,Bournemouth
ENBHA,Brighton & Hove Albion,England
ENBRN,Burnley,England
ENCHE,Chelsea,England
ENCRY,Crystal Palace,England
ENEVE,Everton,England
ENHUD,Huddersfield Town,England,Huddersfield
ENLEI,Leicester City,England
ENLIV,Liverpool,England
ENMCI,Manchester City,England, Man City
ENMUN,Manchester United,England,Man United
ENNEW,Newcastle United,England,Newcastle
ENSOU,Southampton,England
ENSTK,Stoke City,England
ENSWA,Swansea City,England
ENTOT,Tottenham Hotspur,England
ENWAT,Watford,England
ENWBA,West Bromwich Albion,England
ENWHU,West Ham United,England
